Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
PSMB,2,200,23.28,100,12.65,15.28,2,0
RODE,2,200,37.13,200,12.38,24.52,2,0
IGLD,1,100,26.32,100,12.79,19.06,1,0
IVDG,1,200,16.33,200,5.45,10.70,1,0
LIV,1,200,28.64,200,9.55,18.78,1,0
MBBB,1,200,26.51,200,15.91,21.15,1,0
MSTQ,1,200,36.03,200,12.02,23.51,1,0
NUDV,1,200,37.66,200,12.56,24.92,1,0
PSMR,1,200,32.81,200,10.94,21.58,1,0
ROMO,1,100,32.83,200,12.84,25.68,1,0
SHAG,1,200,59.55,200,35.74,47.56,1,0
TCTL,1,200,44.80,200,14.94,29.85,1,0
XBAP,1,200,40.22,200,13.41,26.41,1,0
ACSI,0,200,71.81,200,23.94,0.00,0,0
APRZ,0,200,39.17,200,13.06,0.00,0,0
ARCM,0,200,148.96,200,49.66,0.00,0,0
BGLD,0,200,26.60,200,8.87,0.00,0,0
BOB,0,200,32.96,200,10.99,0.00,0,0
CFCV,0,200,47.99,200,16.00,0.00,0,0
DBJA,0,200,39.71,200,13.24,0.00,0,0
DECZ,0,200,42.42,200,14.15,0.00,0,0
DSJA,0,200,39.69,200,13.24,0.00,0,0
DSOC,0,200,45.47,200,15.16,0.00,0,0
EAOK,0,200,36.90,200,12.31,0.00,0,0
EAOM,0,200,38.49,200,12.84,0.00,0,0
EAOR,0,200,41.45,200,13.82,0.00,0,0
EMDV,0,100,60.50,100,35.20,0.00,0,0
EOPS,0,200,24.22,200,8.08,0.00,0,0
ESCR,0,200,28.20,200,9.40,0.00,0,0
ESEB,0,200,25.18,200,8.40,0.00,0,0
FEBZ,0,200,41.70,200,13.91,0.00,0,0
FFHG,0,100,42.82,100,24.92,0.00,0,0
FIBR,0,4,92.50,200,65.42,0.00,0,0
FLTN,0,200,36.72,200,12.25,0.00,0,0
GPAL,0,200,52.33,200,17.45,0.00,0,0
GSEE,0,200,62.12,200,20.71,0.00,0,0
HEET,0,200,35.26,200,11.76,0.00,0,0
HSUN,0,200,42.50,200,25.51,0.00,0,0
IMFL,0,200,31.08,200,10.36,0.00,0,0
IPPP,0,200,15.93,200,5.32,0.00,0,0
JANZ,0,200,40.90,200,13.64,0.00,0,0
JUNZ,0,200,37.81,200,12.61,0.00,0,0
LCF,0,200,38.97,200,13.00,0.00,0,0
LQDW,0,200,60.15,200,20.06,0.00,0,0
MARZ,0,200,38.68,200,12.90,0.00,0,0
MAYZ,0,200,36.80,200,12.27,0.00,0,0
MBND,0,200,40.81,100,20.33,0.00,0,0
MBNE,0,200,44.74,200,14.92,0.00,0,0
MDEV,0,200,23.93,200,14.37,0.00,0,0
MIG,0,200,26.66,200,16.00,0.00,0,0
MINN,0,200,33.29,100,14.91,0.00,0,0
MRSK,0,200,41.71,200,13.91,0.00,0,0
MSMR,0,200,32.99,200,11.00,0.00,0,0
NOVZ,0,200,47.16,200,15.73,0.00,0,0
OBND,0,200,33.59,200,20.16,0.00,0,0
OCTZ,0,200,45.52,200,15.18,0.00,0,0
PBND,0,200,28.54,200,17.13,0.00,0,0
PLRG,0,200,38.24,200,12.75,0.00,0,0
PSCJ,0,200,30.25,200,10.09,0.00,0,0
PSCQ,0,200,30.33,200,10.12,0.00,0,0
PSFD,0,200,34.88,200,11.63,0.00,0,0
PSFJ,0,200,32.65,200,10.89,0.00,0,0
PSFM,0,200,33.62,200,11.21,0.00,0,0
PSMD,0,200,32.87,200,10.96,0.00,0,0
PSMO,0,200,30.81,200,10.27,0.00,0,0
QCON,0,200,52.96,200,31.78,0.00,0,0
QTOC,0,200,32.82,200,10.95,0.00,0,0
RDFI,0,200,36.04,200,12.02,0.00,0,0
REC,0,200,32.46,200,10.82,0.00,0,0
RESE,0,200,35.61,200,21.38,0.00,0,0
RODI,0,200,129.85,200,77.91,0.00,0,0
RSX,0,0,0.00,0,0.00,0.00,0,0
RSXJ,0,0,0.00,0,0.00,0.00,0,0
SEIV,0,200,38.19,200,12.74,0.00,0,0
SFIG,0,200,59.76,200,35.86,0.00,0,0
TSJA,0,200,39.47,200,13.16,0.00,0,0
TUSI,0,200,31.31,200,18.80,0.00,0,0
UDEC,0,200,43.08,100,21.29,0.00,0,0
USEQ,0,200,53.13,200,17.72,0.00,0,0
VMAT,0,200,36.79,200,12.27,0.00,0,0
WFIG,0,200,57.28,200,34.37,0.00,0,0
WIL,0,200,116.48,200,69.90,0.00,0,0
XDJL,0,200,36.73,200,12.25,0.00,0,0
XDOC,0,200,35.66,200,11.89,0.00,0,0
XEMD,0,200,50.68,200,30.42,0.00,0,0
XTAP,0,200,41.52,100,20.28,0.00,0,0
XTJA,0,200,32.75,200,10.92,0.00,0,0
YDEC,0,200,28.90,200,9.64,0.00,0,0
YMAR,0,200,27.71,100,12.32,0.00,0,0
YSEP,0,200,26.87,200,8.96,0.00,0,0
