Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UJAN,7244,100,38.15,100,22.19,29.69,7244,0
DIVB,7223,40,39.88,4,39.00,39.08,7222,1
CNYA,7172,200,43.47,100,27.11,34.97,7172,0
XVOL,6775,100,24.29,100,12.96,19.22,6775,0
SYLD,6687,100,75.56,100,47.63,60.90,6687,0
XMPT,6445,50,23.74,50,23.42,23.55,6445,0
OUSA,6437,500,42.90,100,34.86,42.28,5991,446
IBHI,6416,200,34.62,200,11.54,22.92,6416,0
PBTP,6402,200,32.26,200,19.36,25.80,6402,0
XBJL,6388,100,33.36,200,13.12,25.96,6388,0
IBMN,6262,100,31.06,100,21.92,26.50,6262,0
FDRV,6098,200,30.02,100,15.76,19.30,6097,1
IZRL,6025,100,27.30,100,14.68,19.77,6025,0
NOCT,5998,200,57.14,200,19.05,37.80,5998,0
IYLD,5860,200,25.22,100,16.46,20.02,5860,0
FYLD,5851,100,32.65,100,18.24,23.57,5851,0
PRNT,5836,17,22.69,100,16.98,22.69,5836,0
PTLC,5776,100,48.33,100,28.12,37.59,5776,0
UAPR,5347,100,32.77,200,12.86,25.41,3788,1559
DISV,5312,200,32.53,100,17.51,21.18,5312,0
CEFS,5306,100,23.39,100,12.64,18.76,5306,0
IEFN,5160,100,39.86,100,23.18,31.08,4691,469
HEGD,5148,200,22.16,200,13.30,17.55,5148,0
ADME,5146,100,47.17,100,27.44,36.70,5146,0
LKOR,5067,200,56.83,200,34.10,44.91,5067,0
ZECP,5066,200,37.10,200,12.37,24.25,5066,0
FDG,4956,100,75.18,100,47.40,60.76,4956,0
HYDB,4932,200,57.16,200,34.30,45.20,4926,6
FBCV,4883,100,36.34,100,21.14,28.30,4583,300
TMFG,4858,100,38.64,200,13.17,25.74,4858,0
FMAG,4850,200,31.87,100,10.96,20.76,4849,1
BJAN,4830,200,52.29,200,17.43,34.46,4830,0
BUFR,4788,100,27.51,100,18.24,22.73,4788,0
IECS,4730,100,44.59,100,25.94,34.68,4467,263
NUMG,4631,200,59.02,200,19.68,38.31,4531,100
NUSC,4598,100,46.96,100,27.32,36.57,4598,0
JPIB,4588,200,57.97,200,34.79,46.17,4410,178
MBCC,4487,200,37.89,200,12.64,24.85,4487,0
BMAR,4400,200,50.43,200,16.81,33.13,3400,1000
IEIH,4353,200,51.20,100,24.87,34.18,4254,99
IQDG,4346,200,38.85,100,24.97,30.52,4046,300
BAUG,4315,100,40.44,100,23.53,31.47,4015,300
SMMV,4279,100,46.84,200,18.33,36.06,3965,314
XBTF,4249,500,20.48,100,20.39,20.40,4199,50
OMFL,4221,100,56.64,100,32.94,44.08,4221,0
NUEM,4187,200,40.50,200,13.50,26.74,4062,125
XVV,4186,200,39.91,100,25.79,31.23,4186,0
GSST,4124,100,58.99,200,37.44,49.92,4124,0
FCTR,4074,100,34.77,100,24.55,29.65,4074,0
BUFG,4004,200,28.42,200,9.48,18.70,4004,0
POCT,3995,100,37.53,100,21.83,29.16,3995,0
IDME,3968,200,30.21,100,13.46,19.93,3868,100
WTAI,3925,200,25.85,200,8.62,16.71,3925,0
REGL,3902,200,111.45,1,70.61,72.85,3902,0
KJAN,3899,100,39.01,100,22.70,30.28,3899,0
DDLS,3718,200,39.48,200,23.70,31.11,3718,0
FRNW,3714,200,37.72,200,12.58,24.68,3714,0
SMDV,3637,100,78.83,100,49.70,63.68,3584,53
UMAY,3590,100,34.89,100,20.30,27.15,3590,0
MPRO,3586,100,33.61,200,13.23,26.17,3586,0
MOHR,3576,200,30.73,100,16.73,20.22,3576,0
APXH,3575,200,12.98,200,4.33,8.57,3575,0
AGT,3538,200,32.97,200,19.79,26.40,3538,0
VXZ,3498,300,28.35,300,28.10,28.33,3498,0
IVAL,3494,100,32.05,100,15.57,23.16,3494,0
JEMA,3451,100,46.26,100,29.72,35.93,3451,0
DDEC,3414,100,39.60,100,23.03,30.84,2999,415
QLC,3404,100,59.03,100,34.33,45.89,3404,0
